Date,,,,Close,,,,,
8/14/2019,,,,161.67,,,,,
8/15/2019,,,,162.44,,,,,
8/16/2019,,,,164.35,,,,,
8/19/2019,,,,166.64,,,,,
8/20/2019,,,,164.99,,,,,
8/21/2019,,,,165.64,,,,,
8/22/2019,,,,165.36,,,,,
8/23/2019,,,,161.06,,,,,
8/26/2019,,,,163.52,,,,,
8/27/2019,,,,163.68,,,,,
8/28/2019,,,,164.51,,,,,
8/29/2019,,,,166.71,,,,,
8/30/2019,,,,166.58,,,,,
9/3/2019,,,,164.87,,,,,
9/4/2019,,,,167.52,,,,,
9/5/2019,,,,170.2,,,,,
9/6/2019,,,,169.82,,,,,
9/9/2019,,,,170.2,,,,,
9/10/2019,,,,170.15,,,,,
9/11/2019,,,,171.76,,,,,
9/12/2019,,,,172.39,,,,,
9/13/2019,,,,172.31,,,,,
9/16/2019,,,,170.99,,,,,
9/17/2019,,,,171.49,,,,,
9/18/2019,,,,171.35,,,,,
9/19/2019,,,,171.45,,,,,
9/20/2019,,,,170.66,,,,,
9/23/2019,,,,169.98,,,,,
9/24/2019,,,,167.7,,,,,
9/25/2019,,,,169.58,,,,,
9/26/2019,,,,168.23,,,,,
9/27/2019,,,,166.67,,,,,
9/30/2019,,,,167.26,,,,,
10/1/2019,,,,165.56,,,,,
10/2/2019,,,,163.32,,,,,
10/3/2019,,,,164.67,,,,,
10/4/2019,,,,166.98,,,,,
10/7/2019,,,,167.05,,,,,
10/8/2019,,,,164.85,,,,,
10/9/2019,,,,165.47,,,,,
10/10/2019,,,,166.53,,,,,
10/11/2019,,,,168.26,,,,,
10/14/2019,,,,167.92,,,,,
10/15/2019,,,,170.64,,,,,
10/16/2019,,,,170.89,,,,,
10/17/2019,,,,171.98,,,,,
10/18/2019,,,,170.48,,,,,
10/21/2019,,,,171.19,,,,,
10/22/2019,,,,169.65,,,,,
10/23/2019,,,,170.73,,,,,
10/24/2019,,,,169.48,,,,,
10/25/2019,,,,170.68,,,,,
10/28/2019,,,,172.68,,,,,
10/29/2019,,,,171.03,,,,,
10/30/2019,,,,171.36,,,,,
10/31/2019,,,,171.82,,,,,
11/1/2019,,,,173.25,,,,,
11/4/2019,,,,173.95,,,,,
11/5/2019,,,,173.83,,,,,
11/6/2019,,,,173.48,,,,,
11/7/2019,,,,174.64,,,,,
11/8/2019,,,,175.28,,,,,
11/11/2019,,,,174.59,,,,,
11/12/2019,,,,175.11,,,,,
11/13/2019,,,,175.85,,,,,
11/14/2019,,,,176.38,,,,,
11/15/2019,,,,177.63,,,,,
11/18/2019,,,,178.12,,,,,
11/19/2019,,,,177.66,,,,,
11/20/2019,,,,176.25,,,,,
11/21/2019,,,,176.69,,,,,
11/22/2019,,,,176.92,,,,,
11/25/2019,,,,177.13,,,,,
11/26/2019,,,,177.77,,,,,
11/27/2019,,,,178.89,,,,,
11/29/2019,,,,178.24,,,,,
12/2/2019,,,,176.69,,,,,
12/3/2019,,,,176.54,,,,,
12/4/2019,,,,177.67,,,,,
12/5/2019,,,,178.36,,,,,
12/6/2019,,,,179.48,,,,,
12/9/2019,,,,178.96,,,,,
12/10/2019,,,,178.32,,,,,
12/11/2019,,,,178.86,,,,,
12/12/2019,,,,178.85,,,,,
12/13/2019,,,,178.27,,,,,
12/16/2019,,,,180.12,,,,,
12/17/2019,,,,180.14,,,,,
12/18/2019,,,,180.67,,,,,
12/19/2019,,,,182.1,,,,,
12/20/2019,,,,182.8,,,,,
12/23/2019,,,,182.18,,,,,
12/24/2019,,,,181.94,,,,,
12/26/2019,,,,183.42,,,,,
12/27/2019,,,,183.16,,,,,
12/30/2019,,,,181.28,,,,,
12/31/2019,,,,181.64,,,,,
1/2/2020,,,,184.03,,,,,
1/3/2020,,,,183.01,,,,,
1/6/2020,,,,185.24,,,,,
1/7/2020,,,,185.17,,,,,
1/8/2020,,,,186.44,,,,,
1/9/2020,,,,186.92,,,,,
1/10/2020,,,,186.63,,,,,
1/13/2020,,,,188.08,,,,,
1/14/2020,,,,187.52,,,,,
1/15/2020,,,,188.15,,,,,
1/16/2020,,,,189.4,,,,,
1/17/2020,,,,191.1,,,,,
1/21/2020,,,,191.01,,,,,
1/22/2020,,,,191.12,,,,,
1/23/2020,,,,190.47,,,,,
1/24/2020,,,,188.48,,,,,
1/27/2020,,,,185.29,,,,,
1/28/2020,,,,187.48,,,,,
1/29/2020,,,,186.67,,,,,
1/30/2020,,,,185.19,,,,,
1/31/2020,,,,182.84,,,,,
2/3/2020,,,,185.16,,,,,
2/4/2020,,,,186.46,,,,,
2/5/2020,,,,186.55,,,,,
2/6/2020,,,,188.68,,,,,
2/7/2020,,,,188.88,,,,,
2/10/2020,,,,190.46,,,,,
2/11/2020,,,,189.29,,,,,
2/12/2020,,,,191.03,,,,,
2/13/2020,,,,191.31,,,,,
2/14/2020,,,,191.5,,,,,
2/18/2020,,,,192.26,,,,,
2/19/2020,,,,192.97,,,,,
2/20/2020,,,,191.8,,,,,
2/21/2020,,,,189.12,,,,,
2/24/2020,,,,182.85,,,,,
2/25/2020,,,,178.45,,,,,
2/26/2020,,,,178.08,,,,,
2/27/2020,,,,170.87,,,,,
2/28/2020,,,,171.25,,,,,
3/2/2020,,,,177.39,,,,,
3/3/2020,,,,171.49,,,,,
3/4/2020,,,,177.63,,,,,
3/5/2020,,,,171.06,,,,,
3/6/2020,,,,168.93,,,,,
3/9/2020,,,,158.44,,,,,
3/10/2020,,,,165.62,,,,,
3/11/2020,,,,158.45,,,,,
3/12/2020,,,,144.33,,,,,
3/13/2020,,,,157.61,,,,,
3/16/2020,,,,141.15,,,,,
3/17/2020,,,,146.78,,,,,
3/18/2020,,,,142.65,,,,,
3/19/2020,,,,145.02,,,,,
3/20/2020,,,,138.3,,,,,
3/23/2020,,,,137.76,,,,,
3/24/2020,,,,145.77,,,,,
3/25/2020,,,,143.46,,,,,
3/26/2020,,,,152.14,,,,,
3/27/2020,,,,145.91,,,,,
3/30/2020,,,,151.13,,,,,
3/31/2020,,,,150.35,,,,,
4/1/2020,,,,144.44,,,,,
4/2/2020,,,,147.07,,,,,
4/3/2020,,,,143.84,,,,,
4/6/2020,,,,153.48,,,,,
4/7/2020,,,,154.51,,,,,
4/8/2020,,,,157.06,,,,,
4/9/2020,,,,158.14,,,,,
4/13/2020,,,,158.29,,,,,
4/14/2020,,,,163.41,,,,,
4/15/2020,,,,161.7,,,,,
4/16/2020,,,,162.39,,,,,
4/17/2020,,,,164.69,,,,,
4/20/2020,,,,163.18,,,,,
4/21/2020,,,,157.99,,,,,
4/22/2020,,,,161.76,,,,,
4/23/2020,,,,162.91,,,,,
4/24/2020,,,,164.63,,,,,
4/27/2020,,,,165.55,,,,,
4/28/2020,,,,162.42,,,,,
4/29/2020,,,,170.62,,,,,
4/30/2020,,,,170.66,,,,,
5/1/2020,,,,167.99,,,,,
5/4/2020,,,,168.53,,,,,
5/5/2020,,,,169.57,,,,,
5/6/2020,,,,168.89,,,,,
5/7/2020,,,,171.53,,,,,
5/8/2020,,,,174.23,,,,,
5/11/2020,,,,174.47,,,,,
5/12/2020,,,,171.09,,,,,
5/13/2020,,,,168.32,,,,,
