Date,,,,Close
10/14/2020,,,,2146
10/15/2020,,,,2136.47
10/16/2020,,,,2130.53
10/19/2020,,,,2090.58
10/20/2020,,,,2098.58
10/21/2020,,,,2095.83
10/22/2020,,,,2085.95
10/23/2020,,,,2083.46
10/26/2020,,,,2038.32
10/27/2020,,,,2048.93
10/28/2020,,,,1960.21
10/29/2020,,,,1997.33
10/30/2020,,,,1948.66
11/2/2020,,,,1955.34
11/3/2020,,,,1990.56
11/4/2020,,,,2066.85
11/5/2020,,,,2131.38
11/6/2020,,,,2137.67
11/9/2020,,,,2122.07
11/10/2020,,,,2080.98
11/11/2020,,,,2131.23
11/12/2020,,,,2111.15
11/13/2020,,,,2129.22
11/16/2020,,,,2150.03
11/17/2020,,,,2138.21
11/18/2020,,,,2114.41
11/19/2020,,,,2132.07
11/20/2020,,,,2109.68
11/23/2020,,,,2108.98
11/24/2020,,,,2138.19
11/25/2020,,,,2142.99
11/27/2020,,,,2153.93
11/30/2020,,,,2168.1
12/1/2020,,,,2198.66
12/2/2020,,,,2193.89
12/3/2020,,,,2191.59
12/4/2020,,,,2213.9
12/7/2020,,,,2219.75
12/8/2020,,,,2227.42
12/9/2020,,,,2185.6
12/10/2020,,,,2187.2
12/11/2020,,,,2182.24
12/14/2020,,,,2191.24
12/15/2020,,,,2226.54
12/16/2020,,,,2243.06
12/17/2020,,,,2259.84
12/18/2020,,,,2252.06
12/21/2020,,,,2253.7
12/22/2020,,,,2273.06
12/23/2020,,,,2253.78
12/24/2020,,,,2270.6
12/28/2020,,,,2296.98
12/29/2020,,,,2284.97
12/30/2020,,,,2284.47
12/31/2020,,,,2291.28
1/4/2021,,,,2250.17
1/5/2021,,,,2265.93
1/6/2021,,,,2225.02
1/7/2021,,,,2283.97
1/8/2021,,,,2301.17
1/11/2021,,,,2279.54
1/12/2021,,,,2269.84
1/13/2021,,,,2284.59
1/14/2021,,,,2262.98
1/15/2021,,,,2240.95
1/19/2021,,,,2270.25
1/20/2021,,,,2316.03
1/21/2021,,,,2346.56
1/22/2021,,,,2339.12
1/25/2021,,,,2359.62
1/26/2021,,,,2359.81
1/27/2021,,,,2314.41
1/28/2021,,,,2324.9
1/29/2021,,,,2269.12
2/1/2021,,,,2326.07
2/2/2021,,,,2355.9
2/3/2021,,,,2348.81
2/4/2021,,,,2385.11
2/5/2021,,,,2379.86
2/8/2021,,,,2404.56
2/9/2021,,,,2399.97
2/10/2021,,,,2396.35
2/11/2021,,,,2422.53
2/12/2021,,,,2434.51
2/16/2021,,,,2427.32
2/17/2021,,,,2402.23
2/18/2021,,,,2391.35
2/19/2021,,,,2387.76
2/22/2021,,,,2333.91
2/23/2021,,,,2328.11
2/24/2021,,,,2363.21
2/25/2021,,,,2279.75
2/26/2021,,,,2293.4
3/1/2021,,,,2366.28
3/2/2021,,,,2327.66
3/3/2021,,,,2269.8
3/4/2021,,,,2218.58
3/5/2021,,,,2262.26
3/8/2021,,,,2206.54
3/9/2021,,,,2281.79
3/10/2021,,,,2272.6
3/11/2021,,,,2320.84
3/12/2021,,,,2304.26
3/15/2021,,,,2329.81
3/16/2021,,,,2348.18
3/17/2021,,,,2345.57
3/18/2021,,,,2278.82
3/19/2021,,,,2273.14
3/22/2021,,,,2317.03
3/23/2021,,,,2302.31
3/24/2021,,,,2274.52
3/25/2021,,,,2272.9
3/26/2021,,,,2330.55
3/29/2021,,,,2318.63
3/30/2021,,,,2296.68
3/31/2021,,,,2331.06
4/1/2021,,,,2380.03
4/5/2021,,,,2428.22
4/6/2021,,,,2418.97
4/7/2021,,,,2432
4/8/2021,,,,2466.55
4/9/2021,,,,2490.99
4/12/2021,,,,2478.92
4/13/2021,,,,2502.59
4/14/2021,,,,2473.92
4/15/2021,,,,2518.1
4/16/2021,,,,2517.31
